ea,ea_num,id_text,src,dst,src_tier,dst_tier,named_pharaoh,src_confidence,dst_confidence,has_text,provenience
EA 001,1,P270887,pharaoh,kadasmanenlili,egypt,great_power,Amenhotep III of Egypt,probable,probable,False,Egypt
EA 002,2,P271034,kadasmanenlili,pharaoh,great_power,egypt,Amenhotep III of Egypt,probable,probable,False,Babylon
EA 003,3,P270975,kadasmanenlili,pharaoh,great_power,egypt,Amenhotep III of Egypt,probable,probable,False,Babylon
EA 004,4,P271101,kadasmanenlili,pharaoh,great_power,egypt,Amenhotep III of Egypt,restored,restored,False,Babylon
EA 005,5,P270890,pharaoh,kadasmanenlili,egypt,great_power,Amenhotep III of Egypt,probable,probable,False,Egypt
EA 006,6,P271035,burnaburiasii,pharaoh,great_power,egypt,Amenhotep III of Egypt,probable,probable,False,Babylon
EA 007,7,P271036,burnaburiasii,pharaoh,great_power,egypt,,probable,restored,False,Babylon
EA 008,8,P271038,burnaburiasii,pharaoh,great_power,egypt,Amenhotep IV of Egypt,probable,probable,False,Babylon
EA 009,9,P270888,burnaburiasii,pharaoh,great_power,egypt,Tutankhamun of Egypt,probable,probable,False,Babylon
EA 010,10,P270889,burnaburiasii,pharaoh,great_power,egypt,Amenhotep IV of Egypt,probable,probable,False,Babylon
EA 011,11,P271037,burnaburiasii,pharaoh,great_power,egypt,Amenhotep IV of Egypt,probable,probable,False,Babylon
EA 012,12,P271061,a-babylonian-princess,pharaoh,vassal,egypt,,restored,restored,False,Babylon
EA 015,15,P271024,assuruballiti,pharaoh,great_power,egypt,,probable,restored,False,Assyria
EA 016,16,P270976,assuruballiti,pharaoh,great_power,egypt,,probable,restored,False,Assyria
EA 017,17,P270895,tusratta,pharaoh,great_power,egypt,Amenhotep III of Egypt,probable,probable,False,Mittani
EA 019,19,P270894,tusratta,pharaoh,great_power,egypt,Amenhotep III of Egypt,probable,probable,False,Mittani
EA 020,20,P271179,tusratta,pharaoh,great_power,egypt,Amenhotep III of Egypt,probable,probable,False,Mittani
EA 021,21,P271178,tusratta,pharaoh,great_power,egypt,Amenhotep III of Egypt,probable,probable,False,Mittani
EA 023,23,P270896,tusratta,pharaoh,great_power,egypt,Amenhotep III of Egypt,probable,probable,False,Mittani
EA 024,24,P271214,tusratta,pharaoh,great_power,egypt,Amenhotep III of Egypt,probable,probable,False,Mittani
EA 026,26,P270897,tusratta,teye,great_power,egypt,,probable,probable,False,Mittani
EA 027,27,P271181,tusratta,pharaoh,great_power,egypt,Amenhotep IV of Egypt,probable,probable,False,Mittani
EA 028,28,P270967,tusratta,pharaoh,great_power,egypt,Amenhotep IV of Egypt,probable,probable,False,Mittani
EA 029,29,P271184,tusratta,pharaoh,great_power,egypt,Amenhotep IV of Egypt,probable,probable,False,Mittani
EA 030,30,P270943,tusratta,the-kings-of-canaan,great_power,vassal,,restored,probable,False,Mittani
EA 031,31,P270973,pharaoh,tarhundaradu,egypt,great_power,Amenhotep III of Egypt,probable,probable,False,Egypt
EA 032,32,P271204,tarhundaradu,pharaoh,great_power,egypt,Amenhotep III of Egypt,restored,restored,False,Arzawa
EA 033,33,P271098,the-king-of-alasiya,pharaoh,great_power,egypt,Amenhotep IV of Egypt,probable,restored,False,Alashiya
EA 034,34,P270892,the-king-of-alasiya,pharaoh,great_power,egypt,Amenhotep IV of Egypt,probable,restored,False,Alashiya
EA 035,35,P270891,the-king-of-alasiya,pharaoh,great_power,egypt,Amenhotep IV of Egypt,probable,restored,False,Alashiya
EA 037,37,P270893,the-king-of-alasiya,pharaoh,great_power,egypt,Amenhotep IV of Egypt,probable,restored,False,Alashiya
EA 038,38,P271039,the-king-of-alasiya,pharaoh,great_power,egypt,Amenhotep IV of Egypt,probable,restored,False,Alashiya
EA 039,39,P270978,the-king-of-alasiya,pharaoh,great_power,egypt,Amenhotep IV of Egypt,probable,restored,False,Alashiya
EA 040,40,P270979,the-governor-of-alasiya,the-governor-of-egypt,great_power,egypt,,probable,probable,False,Alashiya
EA 041,41,P270977,suppiluliumai,pharaoh,great_power,egypt,Smenkhkare of Egypt,probable,restored,False,Hatti
EA 042,42,P271099,the-king-of-hatti,pharaoh,great_power,egypt,,restored,restored,False,Hatti
EA 043,43,P270878,the-king-of-hatti,pharaoh,great_power,egypt,,restored,restored,False,Hatti
EA 044,44,P271100,zita,pharaoh,great_power,egypt,Amenhotep III of Egypt,probable,restored,False,Hatti
EA 045,45,P271133,ammistamru,pharaoh,vassal,egypt,Amenhotep III of Egypt,certain,certain,True,Ugarit
EA 046,46,P271135,a-king-of-ugarit,pharaoh,vassal,egypt,,restored,restored,True,Ugarit
EA 047,47,P271134,a-king-of-ugarit,pharaoh,vassal,egypt,,restored,restored,True,Ugarit
EA 048,48,P271132,the-queen-of-ugarit,the-queen-of-egypt,vassal,egypt,,restored,restored,True,Ugarit
EA 049,49,P271011,niqmaddaii,pharaoh,vassal,egypt,Amenhotep IV of Egypt,certain,certain,True,Ugarit
EA 051,51,P271215,addunirari,pharaoh,vassal,egypt,,certain,certain,True,Nuhašše
EA 052,52,P270989,akizzi,pharaoh,vassal,egypt,,certain,certain,True,Qaṭna
