actor_i,actor_j,weight
abdiasirta,ribhadda,44
ribhadda,yanhamu,13
aziru,ribhadda,13
ribhadda,yapabalu,11
abdiasirta,aziru,11
pharaoh,tusratta,10
amonappa,ribhadda,10
abdiasirta,yanhamu,10
mane,pharaoh,8
mane,tusratta,8
keliya,pharaoh,7
keliya,tusratta,7
abdiasirta,amonappa,7
abdiasirta,yapabalu,7
yidya,yidyia,7
burnaburias,pharaoh,6
keliya,mane,6
pharaoh,taduheba,6
taduheba,tusratta,6
yanhamu,yapabalu,6
piwuru,ribhadda,6
abimilku,zimreddi,6
aziru,hatip,6
kadasmanenlil,pharaoh,5
mane,taduheba,5
aziru,yanhamu,5
abdiasirta,haip,5
abdiasirta,piwuru,5
piwuru,yanhamu,5
puhuru,ribhadda,5
labayu,milkiilu,5
yapahu,yapau,5
keliya,taduheba,4
mane,teye,4
pharaoh,teye,4
taduheba,teye,4
teye,tusratta,4
biryawaza,etakkama,4
haya,ribhadda,4
abdiasirta,zimreddi,4
milkiuru,ribhadda,4
milkiuru,ummahnu,4
ribhadda,ummahnu,4
aziru,haip,4
haip,ribhadda,4
aziru,piwuru,4
ammunira,ribhadda,4
abimilku,aziru,4
aziru,zimreddi,4
aziru,tutu,4
labayu,tagi,4
milkiilu,yanhamu,4
suwardata,yanhamu,4
abdiheba,yanhamu,4
abdiheba,milkiilu,4
keliya,teye,3
akizzi,etakkama,3
arzawya,etakkama,3
abdiasirta,haya,3
abdiasirta,milkiuru,3
abdiasirta,ummahnu,3
milkiuru,yanhamu,3
ribhadda,zimreddi,3
ummahnu,yanhamu,3
yapabalu,zimreddi,3
amonappa,yanhamu,3
amonmassa,ribhadda,3
amonmassa,yapabalu,3
aziru,yapabalu,3
abdiasirta,puhuru,3
aziru,puhuru,3
piwuru,puhuru,3
puhuru,yanhamu,3
aziru,ilirapi,3
abdiasirta,ammunira,3
aziru,etakkama,3
sutarna,suttarna,3
zitriyara,zitriyarah,3
biridiya,labayu,3
milkiilu,tagi,3
haddaya,labayu,3
haddaya,milkiilu,3
balumeher,balumehir,3
labayu,piwuru,3
piwuru,tagi,3
abdiheba,labayu,3
abdiheba,suwardata,3
abdiheba,haddaya,3
siptibala,tiptibalu,3
asali,keliya,2
asali,mane,2
asali,pharaoh,2
asali,taduheba,2
asali,tusratta,2
mane,pirissi,2
mane,tulubri,2
pharaoh,pirissi,2
pharaoh,tulubri,2
pirissi,taduheba,2
pirissi,teye,2
pirissi,tulubri,2
pirissi,tusratta,2
taduheba,tulubri,2
teye,tulubri,2
tulubri,tusratta,2
pharaoh,suppiluliuma,2
akizzi,biryawaza,2
akizzi,arzawya,2
akizzi,pharaoh,2
akizzi,tassu,2
akizzi,tiwate,2
arzawya,biryawaza,2
arzawya,tiwate,2
etakkama,tassu,2
etakkama,tiwate,2
abdiasirta,pahanate,2
pahanate,ribhadda,2
milkiuru,yapabalu,2
ummahnu,yapabalu,2
yanhamu,zimreddi,2
abdiasirta,puheya,2
milkiuru,puheya,2
puheya,ribhadda,2
puheya,ummahnu,2
surata,yanhamu,2
haya,yanhamu,2
haip,piwuru,2
haip,puhuru,2
haip,yanhamu,2
abdibalu,ribhadda,2
abdibalu,yapabalu,2
aziru,ilirapih,2
ilirapi,ilirapih,2
abdiasirta,abimilku,2
aziru,biryawaza,2
aziru,hanya,2
hatip,tutu,2
amonhatpe,mayarzana,2
arsawuya,arzawya,2
biridaswa,biryawaza,2
wiktasu,yiktasu,2
sumadda,sumhaddu,2
biridiya,yasdata,2
baluursag,labayu,2
baluursag,milkiilu,2
haya,labayu,2
haya,milkiilu,2
milkiilu,suwardata,2
haddaya,yanhamu,2
abdiheba,piwuru,2
abdiheba,tagi,2
haddaya,piwuru,2
haddaya,tagi,2
milkiilu,piwuru,2
turbazu,yaptihhaddu,2
addadanu,gulati,2
addadanu,piya,2
gulati,piya,2
hiziru,hizziri,2
kadasmanenlil,kasi,1
