id_text,designation,parsed_sender,parsed_sender_kind,parsed_addressee,parsed_addressee_kind,cat_sender,cat_recipient,sender_agree,addressee_agree
P271133,EA 045,ʿAmmiṯtamru,name,PHARAOH,pharaoh,Ammistamru of Ugarit,[Amenhotep III of Egypt],True,True
P271135,EA 046,,none,,none,[a king of Ugarit],[an Egyptian pharaoh],,
P271134,EA 047,,none,,none,[a king of Ugarit],[an Egyptian pharaoh],,
P271132,EA 048,x-Hebat,name,,none,[the queen of Ugarit],[the queen of Egypt],,
P271011,EA 049,Niqma-Haddu,name,PHARAOH,pharaoh,Niqmadda II of Ugarit,[Amenhotep IV of Egypt],True,True
P271052,EA 050,,none,,none,[missing],[the queen of Egypt],,
P271215,EA 051,HadduORTeššub-nerari,name,PHARAOH,pharaoh,Addu-nirari of Nuhašše,[an Egyptian pharaoh],True,True
P270989,EA 052,Akizzi,name,PHARAOH,pharaoh,"Akizzi, mayor of Qatna",[an Egyptian pharaoh],True,True
P270922,EA 053,Akizzi,name,Naphuriya,pharaoh,"Akizzi, mayor of Qatna",Amenhotep IV of Egypt,True,True
P271164,EA 054,Akizzi,name,PHARAOH,pharaoh,"Akizzi, mayor of Qatna",Amenhotep IV of Egypt,True,True
P270921,EA 055,Akizzi,name,Naphuriya,pharaoh,"Akizzi, mayor of Qatna",Amenhotep IV of Egypt,True,True
P271150,EA 056 + EA 361,Akizzi,name,PHARAOH,pharaoh,"[Akizzi, mayor of Qatna?]",[Amenhotep IV of Egypt],True,True
P271161,EA 057,,none,,none,[missing],[missing],,
P271152,EA 058,Tehu-Teššub,name,PHARAOH,pharaoh,Tehu-Teššup,[an Egyptian pharaoh],True,True
P270926,EA 059,Tunip,collective,PHARAOH,pharaoh,the citizens of Tunip,[An Egyptian pharaoh],True,True
P271205,EA 060,ʿAbdi-ʾAširte,name,PHARAOH,pharaoh,"ʿAbdi-Aširta, a leader of Amurru",[an Egyptian pharaoh],True,True
P270883,EA 061,ʿAbdi-ʾAširte,name,PHARAOH,pharaoh,"ʿAbdi-Aširta, a leader of Amurru",[an Egyptian pharaoh],True,True
P271123,EA 062,ʿAbdi-ʾAširte,name,Paḥanaṯe,name,"ʿAbdi-Aširta, a leader of Amurru",[An Egyptian pharaoh],True,False
P270919,EA 063,ʿAbdi-ʿAštarti,name,PHARAOH,pharaoh,"ʿAbdi-Aštarti, mayor of Gimtu",[An Egyptian pharaoh],True,True
P270918,EA 064,ʿAbdi-ʿAštarti,name,PHARAOH,pharaoh,"ʿAbdi-Aštarti, mayor of Gimtu",[An Egyptian pharaoh],True,True
P271127,EA 065,ʿAbdi-ʿAštarti,name,PHARAOH,pharaoh,"ʿAbdi-Aštarti, mayor of Gimtu",[an Egyptian pharaoh],True,True
P271142,EA 066,,none,PHARAOH,pharaoh,[missing],[missing],,
P271049,EA 067,PHARAOH,pharaoh,PHARAOH,pharaoh,[missing],[missing],,
P271031,EA 068,Rib-Addi,name,PHARAOH,pharaoh,Rib-Hadda of Byblos,[an Egyptian pharaoh],True,True
P270958,EA 069,Rib-Addi,name,,none,Rib-Hadda of Byblos,[an Egyptian official],True,
P271020,EA 070,Rib-Addi,name,PHARAOH,pharaoh,[missing],[an Egyptian pharaoh],,True
P271079,EA 071,Rib-Addi,name,Haya,name,Rib-Hadda of Byblos,"Haya, the Egyptian vizier",True,True
P271148,EA 072,,none,,none,Rib-Hadda of Byblos,[an Egyptian pharaoh],,
P270901,EA 073,Rib-Addi,name,Amon-appa,name,Rib-Hadda of Byblos,"Amanappa, an Egyptian official",True,True
P270898,EA 074,Rib-Addi,name,PHARAOH,pharaoh,Rib-Hadda of Byblos,[an Egyptian pharaoh],True,True
P270987,EA 075,Rib-Addi,name,PHARAOH,pharaoh,Rib-Hadda of Byblos,[an Egyptian pharaoh],True,True
P271186,EA 076,Rib-Addi,name,PHARAOH,pharaoh,Rib-Hadda of Byblos,[an Egyptian pharaoh],True,True
P271082,EA 077,Rib-Addi,name,Amon-appa,name,Rib-Hadda of Byblos,"Amanappa, an Egyptian official",True,True
P271032,EA 078,Rib-Addi,name,PHARAOH,pharaoh,Rib-Hadda of Byblos,[an Egyptian pharaoh],True,True
