id_text,designation,sender,n_persons,n_ambiguous_tokens,persons
P271133,EA 045,ammistamru,2,0,ammistamru;ammittamru
P271135,EA 046,a-king-of-ugarit,1,0,a-king-of-ugarit
P271134,EA 047,a-king-of-ugarit,2,0,a-king-of-ugarit;hanya
P271132,EA 048,the-queen-of-ugarit,1,0,the-queen-of-ugarit
P271011,EA 049,niqmaddaii,3,0,haramassi;niqmadda;niqmaddaii
P271052,EA 050,,0,0,
P271215,EA 051,addunirari,4,1,addunirari;haddu;manahpirya;tagu
P270989,EA 052,akizzi,2,0,akizzi;biryawaza
P270922,EA 053,akizzi,8,2,akizzi;arzawya;biryawaza;etakkama;haddu;pharaoh;tassu;tiwate
P271164,EA 054,akizzi,4,0,akizzi;arzawya;etakkama;tiwate
P270921,EA 055,akizzi,3,0,akizzi;aziru;pharaoh
P271150,EA 056 + EA 361,akizzi,4,0,akizzi;arsawya;etakkama;tassu
P271161,EA 057,,3,0,akizzi;puhuru;sumitti
P271152,EA 058,tehutessup,3,0,abdiasirta;tehutessub;tehutessup
P270926,EA 059,the-citizens-of-tunip,4,0,akitessub;aziru;manahpirya;the-citizens-of-tunip
P271205,EA 060,abdiasirta,2,0,abdiasirta;pahanate
P270883,EA 061,abdiasirta,1,0,abdiasirta
P271123,EA 062,abdiasirta,7,0,abdiasirta;arzayu;bisitanu;maya;pahanate;tabili;yamaya
P270919,EA 063,abdiastarti,1,0,abdiastarti
P270918,EA 064,abdiastarti,1,0,abdiastarti
P271127,EA 065,abdiastarti,1,0,abdiastarti
P271142,EA 066,,1,0,haya
P271049,EA 067,,0,0,
P271031,EA 068,ribhadda,2,0,pahanate;ribhadda
P270958,EA 069,ribhadda,2,0,appiha;ribhadda
P271020,EA 070,,1,0,ribhadda
P271079,EA 071,ribhadda,3,0,abdiasirta;haya;ribhadda
P271148,EA 072,ribhadda,1,0,ribhadda
P270901,EA 073,ribhadda,3,0,abdiasirta;amonappa;ribhadda
P270898,EA 074,ribhadda,3,0,abdiasirta;amonappa;ribhadda
P270987,EA 075,ribhadda,4,0,abdiasirta;aduna;miya;ribhadda
P271186,EA 076,ribhadda,2,0,abdiasirta;ribhadda
P271082,EA 077,ribhadda,3,0,amonappa;milkayi;ribhadda
P271032,EA 078,ribhadda,2,0,abdiasirta;ribhadda
P271081,EA 079,ribhadda,3,0,abdiasirta;amonappa;ribhadda
P271147,EA 080,,1,0,abdiasirta
P271033,EA 081,ribhadda,2,0,abdiasirta;ribhadda
P270970,EA 082,ribhadda,3,0,abdiasirta;amonappa;ribhadda
P270900,EA 083,ribhadda,7,1,abdiasirta;milkiuru;ribhadda;ummahnu;yanhamu;yapabalu;zimreddi
