ea,goren_section,goren_site,catalogue_provenience,agree,lat,lon
EA 001,I. EGYPT,Egypt,Egypt,True,27.645,30.896
EA 002,III. BABYLONIA,Babylon,Babylon,True,32.53729695,44.42497815
EA 004,III. BABYLONIA,Babylon,Babylon,True,32.53729695,44.42497815
EA 006,III. BABYLONIA,Babylon,Babylon,True,32.53729695,44.42497815
EA 008,III. BABYLONIA,Babylon,Babylon,True,32.53729695,44.42497815
EA 011,III. BABYLONIA,Babylon,Babylon,True,32.53729695,44.42497815
EA 012,III. BABYLONIA,Babylon,Babylon,True,32.53729695,44.42497815
EA 013,III. BABYLONIA,Babylon,,,32.53729695,44.42497815
EA 014,I. EGYPT,Egypt,,,27.645,30.896
EA 017,IV. MITANNI,Mittani,Mittani,True,,
EA 018,IV. MITANNI,Mittani,,,,
EA 019,IV. MITANNI,Mittani,Mittani,True,,
EA 020,IV. MITANNI,Mittani,Mittani,True,,
EA 021,IV. MITANNI,Mittani,Mittani,True,,
EA 022,IV. MITANNI,Mittani,,,,
EA 023,IV. MITANNI,Mittani,Mittani,True,,
EA 024,IV. MITANNI,Mittani,Mittani,True,,
EA 025,IV. MITANNI,Mittani,,,,
EA 026,IV. MITANNI,Mittani,Mittani,True,,
EA 027,IV. MITANNI,Mittani,Mittani,True,,
EA 028,IV. MITANNI,Mittani,Mittani,True,,
EA 029,IV. MITANNI,Mittani,Mittani,True,,
EA 030,IV. MITANNI,Mittani,Mittani,True,,
EA 032,V. ARZAWA,Arzawa,Arzawa,True,37.2550425793,32.3484461457
EA 033,VI. ALASHTYA,,Alashiya,,,
EA 034,VI. ALASHTYA,,Alashiya,,,
EA 037,VI. ALASHTYA,,Alashiya,,,
EA 038,VI. ALASHTYA,,Alashiya,,,
EA 042,II. HATTI,Hatti,Hatti,True,37.03,37.09
EA 044,II. HATTI,Hatti,Hatti,True,37.03,37.09
EA 045,I. UGARIT,,Ugarit,,,
EA 046,I. UGARIT,,Ugarit,,,
EA 047,I. UGARIT,,Ugarit,,,
EA 048,I. UGARIT,,Ugarit,,,
EA 050,I. BYBLOS (GUBLA),Byblos,,,34.1192487924,35.6461246598
EA 053,I. QATNA,Qatna,Qaṭna,True,34.8346712181,36.8663053869
EA 054,I. QATNA,Qatna,Qaṭna,True,34.8346712181,36.8663053869
EA 055,I. QATNA,Qatna,Qaṭna,True,34.8346712181,36.8663053869
EA 057,I. QATNA,Qatna,,,34.8346712181,36.8663053869
EA 058,V. AN UNSPECIFIED CITY IN THE NEIGHBOURHOOD OF AMURRU,Amurru,Ullaza,False,,
EA 059,II. TUNIP,,Tunip,,,
EA 060,I. AMURRU,Amurru,Amurru,True,,
EA 061,I. AMURRU,Amurru,Amurru,True,,
EA 062,I. AMURRU,Amurru,Amurru,True,,
EA 063,II. GATH (GIMTU),Gimtu,Gath,True,31.7019809,34.8474001
EA 064,II. GATH (GIMTU),Gimtu,Gath,True,31.7019809,34.8474001
EA 065,II. GATH (GIMTU),Gimtu,Gath,True,31.7019809,34.8474001
EA 066,"III. LETTERS OF UNPROVENANCED RULERS, SENT FROM GAZA",Gaza,,,,
EA 067,III. NII (?),,,,,
EA 068,I. BYBLOS (GUBLA),Byblos,Byblos,True,34.1192487924,35.6461246598
EA 069,I. BYBLOS (GUBLA),Byblos,Byblos,True,34.1192487924,35.6461246598
EA 071,I. BYBLOS (GUBLA),Byblos,Byblos,True,34.1192487924,35.6461246598
EA 072,I. BYBLOS (GUBLA),Byblos,Byblos,True,34.1192487924,35.6461246598
EA 074,I. BYBLOS (GUBLA),Byblos,Byblos,True,34.1192487924,35.6461246598
EA 076,I. BYBLOS (GUBLA),Byblos,Byblos,True,34.1192487924,35.6461246598
EA 077,I. BYBLOS (GUBLA),Byblos,Byblos,True,34.1192487924,35.6461246598
EA 078,I. BYBLOS (GUBLA),Byblos,Byblos,True,34.1192487924,35.6461246598
EA 079,I. BYBLOS (GUBLA),Byblos,Byblos,True,34.1192487924,35.6461246598
EA 080,II. LETTERS OF UNPROVENANCED CANAANITE RULERS,,,,,
EA 081,I. BYBLOS (GUBLA),Byblos,Byblos,True,34.1192487924,35.6461246598
EA 082,I. BYBLOS (GUBLA),Byblos,Byblos,True,34.1192487924,35.6461246598
EA 083,I. BYBLOS (GUBLA),Byblos,Byblos,True,34.1192487924,35.6461246598
EA 084,I. BYBLOS (GUBLA),Byblos,Byblos,True,34.1192487924,35.6461246598
EA 085,I. BYBLOS (GUBLA),Byblos,Byblos,True,34.1192487924,35.6461246598
EA 086,I. BYBLOS (GUBLA),Byblos,Byblos,True,34.1192487924,35.6461246598
EA 087,I. BYBLOS (GUBLA),Byblos,Byblos,True,34.1192487924,35.6461246598
