actor_id,display,polity,tier,is_named,n_sent,n_received
pharaoh,PHARAOH,Egypt,egypt,True,8,266
ribhadda,Rib-Hadda,Byblos,vassal,True,63,1
aziru,Aziru,Amurru,vassal,True,13,2
tusratta,Tušratta,Mittani,great_power,True,11,0
abimilku,Abi-Milku,Tyre,vassal,True,10,0
suwardata,Šuwardata,Gimtu,vassal,True,8,0
biridiya,Biridiya,Megiddo,vassal,True,7,0
yidyia,Yidyia,Ashkelon,vassal,True,7,0
burnaburiasii,Burna-buriaš II,Babylon,great_power,True,6,0
the-king-of-alasiya,the king of Alašiya,Alašiya,great_power,False,6,0
amanappa,Amanappa,,egypt,True,0,6
milkiilu,Milki-ilu,Gazru,vassal,True,5,1
abdiheba,ʿAbdi-Heba,Jerusalem,vassal,True,6,0
yapahu,Yapahu,Gazru,vassal,True,6,0
kadasmanenlili,Kadašman-Enlil I,Babylon,great_power,True,3,2
akizzi,Akizzi,Qatna,vassal,True,5,0
an-egyptian-official,an Egyptian official,,egypt,False,0,5
subandu,Šub-Andu,Ashkelon,vassal,True,5,0
abdiastarti,ʿAbdi-Aštarti,Gimtu,vassal,True,4,0
tutu,Tutu,,egypt,True,0,4
biryawaza,Biryawaza,Damascus,vassal,True,4,0
balumehir,Baʿlu-mehir,Palestine,vassal,True,4,0
abdiasirta,ʿAbdi-Aširta,Amurru,vassal,True,3,0
yanhamu,Yanhamu,,egypt,True,0,3
ammunira,Ammunira,Beirut,vassal,True,3,0
sutarna,Šutarna,Mušihuna,vassal,True,3,0
zitriyara,Zitriyara,,vassal,True,3,0
satatna,Satatna,Akka,vassal,True,3,0
labayu,Labʾayu,Šakmu,vassal,True,3,0
tagi,Tagi,Gintikirmil,vassal,True,3,0
yahzibadda,Yahzib-Adda,,vassal,True,3,0
addadanu,Adda-danu,Gazru,vassal,True,3,0
pubalu,Pu-Baʿlu,Yurṣa,vassal,True,3,0
siptibala,Šipṭi-Baʿla,Lakiša,vassal,True,3,0
assuruballiti,Aššur-uballiṭ I,Assyria,great_power,True,2,0
tarhundaradu,Tarhundaradu,Arzawa,great_power,True,1,1
