designation,id_text,role,parsed,catalogue,moran_says,rainey_says,verdict,resolved_actor,notes,adjudicated
EA 062,P271123,addressee,Paḥanaṯe,[An Egyptian pharaoh],"'[To P]ahanate, [my l]or[d: Message of ʿAbd]i-Aširti'","'[To] Paḥa(m)nate, my lord, [the message of] ʿAbdi-Ashirte' (p. 437)",parser,"Pahanate, an Egyptian official",Catalogue error confirmed by both editions: letter addresses the commissioner,yes
EA 134,P270984,addressee,Gublu,[an Egyptian pharaoh],Opening lost; translation begins mid-plea '[Sen]d [troops to Gu]bla' (Rib-Hadda dossier),Opening likewise not preserved,catalogue,,Address formula lost in both editions; parser grabbed a body GN,yes
EA 135,P270879,addressee,Ṣumur,[an Egyptian pharaoh],'Too fragmentary for translation'; tablet no longer exists,"Fragmentary; '[....] to the [commissioner(?)...] the king, my lord' (p. 707)",unresolvable,,Rainey's fragments mention king and commissioner; addressee still unrecoverable,yes
EA 162,P271209,sender,king of Gublu,[an Egyptian pharaoh],"'Say [to Aziru], ruler of Amurru: [Thu]s the king, your lord'","'Speak [to Aziru] the ruler of the city of Amurru, [Thus says] the king' (p. 817)",catalogue,,Pharaoh-to-Aziru letter; parser grabbed 'ruler of Gubla' from the body,yes
EA 169,P271104,addressee,PHARAOH,"Tutu, an Egyptian official","n.1: sender is Aziru's son; addressee 'must be another high Egyptian official' (not Tutu, not king)","'[To the king(?), my lord, my god, my sun god; message of (...)]' (p. 843)",unresolvable,,Editions disagree: Moran argues unnamed high official; Rainey restores 'the king(?)' hedged; catalogue's Tutu supported by neither,yes
EA 170,P271189,sender,Baʿluya,"Baʿaluya and Bet-ili, officials of Amurru",'Message of Baaluya and message of Bet-ili',"'the message of Baʿluya and the message of Beti-ili' (p. 847)",catalogue,,Two joint senders; parser captured only the first,yes
EA 170,P271189,addressee,PHARAOH,Aziru of Amurru,"Title 'To Aziru in Egypt'; formula 'To the king, our lord' refers to Aziru","'To the king, our lord' - same formula; addressee Aziru by interpretation",catalogue,,'king our lord' = Aziru while detained in Egypt,yes
EA 206,P270992,sender,king of Naṣiba,the ruler of Naziha,"'Message of the ruler of Nazida, your servant'","'the message of the ruler of Naṣība, your servant' (p. 937)",catalogue,,Unnamed ruler; toponym: Rainey's Naṣība matches the parser's reading against Moran's Nazida and the catalogue's Naziha,yes
EA 210,P271170,addressee,Nibhuriya,[an Egyptian official],"'Too fragmentary'; n.1: 'Addressed to an Egyptian... [Message of] Zišami[mi]'","'[The message of] Zišami[mi]' (p. 945)",catalogue,,Fragmentary; both editions support Egyptian (official) addressee,yes
EA 230,P270968,sender,Maya,"Yama, a mayor(?)","'Message of Yama, your servant'","'the message of Yama, your servant' (p. 985)",catalogue,,Both editions read Yama; Oracc lemma 'Maya' likely misassigned,yes
EA 260,P271027,addressee,Baʿlu-Mer,[an Egyptian pharaoh],"'Balu-Mer says to the Great King, my lord'","'Baʿlu-me<h>er has spoken to the great king, my lord' (p. 1061)",catalogue,,Formula-B letter; parser slot flip; both editions agree,yes
EA 292,P270969,sender,Baʿlu-ṯipṭi,"Adda-danu, mayor of Gazru","'Message of Adda-danu'; n.1: name written dIM-DI.KUD, 'reading... remains a matter of discussion'","'the message of Baʿlu-dāni, your servant' (p. 1143)",catalogue,,Same dIM-DI.KUD signs read three ways (Moran Adda-danu / Rainey Baʿlu-dāni / Oracc Baʿlu-šipṭi); same person - identity merge in registry stands,yes
EA 293,P271002,sender,Baʿlu-ṯipṭi,"Adda-danu, mayor of Gazru",'[Me]ssage of A[dda-d]anu',Same sender as EA 292 (Baʿlu-dāni),catalogue,,Same dIM-DI.KUD equivalence as EA 292,yes
EA 294,P270956,sender,Zimri-Haddu,"Adda-danu(?), mayor of Gazru",'Message of Ad[d]a-[d]anu',"'the message of Zimredda(!), your servant' (p. 1149)",unresolvable,,Three-way edition conflict: Moran Adda-danu vs Rainey Zimredda(!) - Rainey's collation agrees with the Oracc lemma/parser against Moran and the catalogue's hedged Adda-danu(?),yes
EA 295,P271096,sender,Baʿlu-ṯipṭi,Baʿlu-Danu of Tyre,"'Message of [...]-DI.KUD' - name broken; n.1: 'contested readings, see EA 292'","'[the message of Baʿlu-]dāni, your servant' (p. 1153)",catalogue,,Rainey restores the name the catalogue gives; upgraded from unresolvable,yes
EA 301,P271008,sender,Šubandu,"Yapahu, mayor of Gazru","'Message of Suban[d]u, your servant' (also p. 402 n.: 'very probably sent by Subandu (EA 301-6)')","'the message of Shubandu, your servant' (p. 1169)",parser,"Šubandu, mayor of Ashkelon",Catalogue error confirmed by both editions,yes
EA 317,P271119,addressee,Dagan-takala,[an Egyptian pharaoh],"'Dagantakala, your servant, says to the Great King, my lord'","'Dagantakala, your servant, spoke to the great king, my lord' (p. 1203)",catalogue,,Formula-B; parser slot flip; both editions agree,yes
EA 318,P270959,addressee,Dagan-takala,[an Egyptian pharaoh],"'Dagantakala... says to the Great King, [my] lord, the Sun in the sky'","'Dagantak[ala] your servant said to the great king, [my] lord, the sun god from heaven' (p. 1205)",catalogue,,Formula-B; parser slot flip; both editions agree,yes
