folded_variant,folded_canonical,note
adiri,aziru,Oracc renders Aziru of Amurru as ʿAḏiri (Amarna ḏ ~ conventional z)
adiru,aziru,variant of the same
zimrihaddu,zimreddi,Zimreddi of Sidon; Oracc lemma Zimri-Haddu
niqmahaddu,niqmadda,Niqmadda II of Ugarit; Oracc lemma Niqma-Haddu
ribaddi,ribhadda,Rib-Hadda of Byblos; Oracc lemma Rib-Addi
irhebat,abdiheba,ʿAbdi-Heba of Jerusalem; IR₃ is the servant-logogram read ʿabdi
beleturmahmes,ninurmahmes,queen mother NIN-UR.MAH-MEŠ; Belet = NIN logogram
mutbali,murbahlu,Mut-Baʿlu of Pella; catalogue renders Mur-Bahlu
yadibhaddu,yahzibadda,Yahzib-Adda; Oracc lemma Yaʿḏib-Haddu
hasura,hazor,Hazor GN normalization
abdiasirte,abdiasirta,ʿAbdi-Aširta of Amurru; lemma ʿAbdi-ʾAširte vs catalogue spelling
abimilki,abimilku,Abi-Milku of Tyre; lemma ʾAbi-Milki
milkiili,milkiilu,Milki-ilu of Gezer; lemma Milki-ʾili
