ea,src,dst,sign,type,evidence_quote,coder,tranche,notes
EA 073,ribhadda,abdiasirta,-,accuse,"he sent a message to the men of Ammiya, 'Kill your lord and join the Apiru'",claude/moran-pass1,1,incitement to regicide
EA 075,ribhadda,abdiasirta,-,accuse,"[the Apiru killed Ad]una... Abdi-Aširta, and so they go on tak[in]g (territory for themselves)",claude/moran-pass1,1,
EA 075,ribhadda,miya,-,accuse,"Miya, the ruler of Arašni, seized Ar[d]ata",claude/moran-pass1,1,
EA 081,ribhadda,abdiasirta,-,accuse,"the war of Abdi-Aširta is severe, and he has taken all my cities for himself",claude/moran-pass1,1,
EA 085,ribhadda,abdiasirta,-,accuse,"Abdi-Aširta, the servant and dog... I would drive Abdi-Aširta from the land",claude/moran-pass1,1,
EA 104,ribhadda,pubahla,-,accuse,"Pu-Bahla, the son of Abdi-Aširta, has taken Ullassa",claude/moran-pass1,1,
EA 104,ribhadda,sons-of-abdiasirta,-,accuse,"Who are the sons of Abdi-Aširta, the servant and dog?... they take the land of the king for themselves",claude/moran-pass1,1,collective
EA 124,ribhadda,aziru,-,accuse,Aziru has taken all my cities... and (even) mayor[s has killed],claude/moran-pass1,1,
EA 132,ribhadda,abdiasirta,-,accuse,"Earlier, Abdi-Aširta attacked me",claude/moran-pass1,1,
EA 132,ribhadda,aziru,-,accuse,Now Aziru has gathered together all the cities... a commissioner was killed,claude/moran-pass1,1,
EA 139,ilirapih,aziru,-,accuse,the crime that Aziru [committed] against the king: [he kill]ed the king of Ammiya... Aziru is a reb[el] against the king,claude/moran-pass1,1,
EA 140,ilirapih,aziru,-,accuse,"Aziru killed Aduna, the king of Irqata; he killed the king of Ammiya",claude/moran-pass1,1,
EA 140,ilirapih,etakkama,-,accuse,He sent [his] men [t]o Itakkama... to seize the lands of Amqu,claude/moran-pass1,1,co-conspiracy with Aziru
EA 244,biridiya,labayu,-,accuse,Lab'ayu has waged war against me... He seeks simply to seize Megiddo,claude/moran-pass1,1,
EA 245,biridiya,surata,-,accuse,It was Surata that let Lab'ayu go... for it was Surata that had accepted from him his ransom,claude/moran-pass1,1,bribery/release of Labaya
EA 250,baluursag,sons-of-labaya,-,accuse,"the sons of Lab'ayu keep talking to me... 'Wage war against the king... and if you do not wage war, then we will be your enemies'",claude/moran-pass1,1,collective; coercion
EA 250,baluursag,milkiilu,-,accuse,over and above what Milkilu and Lab'ayu caused to be [done],claude/moran-pass1,1,
EA 280,suwardata,abdiheba,-,accuse,"Lab'ayu is dead, but now [an]other Lab'ayu is Abdi-Heba, and he seizes our towns",claude/moran-pass1,1,inter-loyalist accusation
EA 287,abdiheba,milkiilu,-,accuse,Milkilu and Tagi brou[ght troop]s into [Qiltu] against [me],claude/moran-pass1,1,
EA 287,abdiheba,tagi,-,accuse,Milkilu and Tagi brou[ght troop]s into [Qiltu] against [me],claude/moran-pass1,1,
EA 289,abdiheba,milkiilu,-,accuse,Milkilu has written to Tagi and the sons (of Lab'ayu) [to enter the Hapiru cause],claude/moran-pass1,1,
EA 289,abdiheba,tagi,-,accuse,Such was the deed that Milkilu and Tagi did,claude/moran-pass1,1,
EA 289,abdiheba,sons-of-labaya,-,accuse,Milkilu has written to Tagi and the sons (of Lab'ayu),claude/moran-pass1,1,collective
EA 366,suwardata,abdiheba,+,ally,Only Abdi-Heba and I have been at war with (that) Apiru,claude/moran-pass1,1,mutual - see reverse row
EA 366,abdiheba,suwardata,+,ally,Only Abdi-Heba and I have been at war with (that) Apiru,claude/moran-pass1,1,mutual
EA 366,surata,suwardata,+,ally,"Surata, the ruler of Akka, and Endaruta, the ruler of Akšapa... have come to my aid with 50 chariots",claude/moran-pass1,1,
EA 366,endaruta,suwardata,+,ally,Surata... and Endaruta... have come to my aid with 50 chariots,claude/moran-pass1,1,
EA 149,abimilku,zimreddi,-,accuse,"Zimredda of Sidon, the rebel against the king... They captured Sumur through the instructions of Zimredda",claude/moran-pass1,1,
EA 149,abimilku,aziru,-,accuse,[Haapi] gave Sumur [t]o Aziru,claude/moran-pass1,1,receiver of Sumur
EA 149,abimilku,haapi,-,accuse,Haapi... [g]ave Sumur [t]o Aziru,claude/moran-pass1,1,Egyptian official implicated
EA 189,etakkama,biryawaza,-,accuse,the wicked Biryawaza has gone on defaming me in your sight,claude/moran-pass1,1,
EA 197,biryawaza,biridaswa,-,accuse,"they waged war with Biridašwa against me, constantly saying, 'Come, let's kill Biryawaza'",claude/moran-pass1,1,
EA 197,biryawaza,arsawuya,-,accuse,"Arsawuya went to Ki[ssa], took (some of) Aziru's [men]",claude/moran-pass1,1,acting with Aziru's forces
EA 171,aziru,yanhamu,-,accuse,I would enter the service of the king... but Yanhamu has not allowed me,claude/moran-pass1,1,obstruction grievance; milder than military accusation
EA 017,tusratta,udhi,-,accuse,UD-hi had done an unseemly thing to my country and had slain his lord,claude/moran-pass1,2,regicide of Artašumara's circle
EA 076,ribhadda,abdiasirta,-,accuse,He has seized [...]; send me [a garris]on of 400 men,claude/moran-pass1,2,
EA 089,ribhadda,people-of-tyre,-,accuse,"they have killed their mayor, together with my sister and her sons",claude/moran-pass1,2,collective; Tyre coup
EA 089,ribhadda,abdiasirta,-,accuse,Abdi-Aširta has taken the sea [in] front of them,claude/moran-pass1,2,
EA 101,ribhadda,people-of-arwada,-,accuse,whose ships have attacked me? Is it not the men of Arwada?,claude/moran-pass1,2,collective; letter also reports Abdi-Aširta's killing by his own people
EA 109,ribhadda,sons-of-abdiasirta,-,accuse,they seized [12 men of mine]... The rans[om price] between us they have set at 50 (shekels of) silver,claude/moran-pass1,2,collective
EA 113,ribhadda,yappahhadda,-,accuse,Yapah-Hadda has commit[ted] a crime... he has plundered two of my ships,claude/moran-pass1,2,
EA 114,ribhadda,aziru,-,accuse,Aziru is at war with me. He has seized 12 men of mine,claude/moran-pass1,2,
EA 114,ribhadda,yappahhadda,-,accuse,Yapah-Hadda is now on the side of Aziru against me... seized a ship of mine,claude/moran-pass1,2,reported Aziru alignment
EA 116,ribhadda,sons-of-abdiasirta,-,accuse,"there was an attack on our garrison, and the sons of Abdi-Aširta seized it",claude/moran-pass1,2,collective; Sumur
EA 116,ribhadda,yappahhadda,-,accuse,[Yapah-Hadda keeps devising] evil upon evil against me,claude/moran-pass1,2,
EA 125,ribhadda,aziru,-,accuse,Aziru has repeatedly raided me... Aziru has taken everything,claude/moran-pass1,2,
EA 129,ribhadda,sons-of-abdiasirta,-,accuse,They took Pewur[u and ki]lled him... All my cities belong to them,claude/moran-pass1,2,collective; commissioner killed
EA 137,ribhadda,brother-of-ribhadda,-,accuse,my younger brother... committed a crime and drove me from the city,claude/moran-pass1,2,relational actor; possibly = Ili-rapih
EA 138,ribhadda,abdiasirta,-,accuse,"When Abdi-Aširti seized Sumur, I guarded the city by (my)self",claude/moran-pass1,2,retrospective
EA 138,ribhadda,sons-of-abdiasirta,-,accuse,"the son of Abdi-Aširti... Then they moved against me, but I killed them",claude/moran-pass1,2,collective
EA 148,abimilku,zimreddi,-,accuse,The one who rai[d]s the land of the king is the king of Sidon... He has taken over the land of the king for the Apiru,claude/moran-pass1,2,
EA 170,baaluyaandbetili,lupakku,-,accuse,troops of Hatti under Lupakku have captured cities of Amqu,claude/moran-pass1,2,hostile-act report to Aziru
EA 185,mayarzana,apiru,-,accuse,"the Apiru captured Mahzibtu, a city of the king... plundered (it) and sen[t] it up in flames",claude/moran-pass1,2,collective
EA 185,mayarzana,amanhatpe,-,accuse,then the Apiru took refuge with Amanhatpe,claude/moran-pass1,2,harboring; repeated for four cities
EA 186,mayarzana,amanhatpe,-,accuse,"I knew his crime, but he went [off to] the Ap[ir]u",claude/moran-pass1,2,defection to Apiru
EA 186,mayarzana,apiru,-,accuse,"the Ap[ir]u captured [Mahzib]tu, a loyal city of the k[ing]",claude/moran-pass1,2,collective
