designation,persons,notes,source
EA 001,pharaoh;kadasmanenlil,"Nibmuarea (A III) to Kadašman-Enlil; 'the [...] of Zaqara' too broken to code",Moran 1992 pp. 1-3
EA 002,pharaoh;kadasmanenlil,Kadašman-Enlil to Mimmuwareya,Moran 1992
EA 003,pharaoh;kadasmanenlil;kasi,"Kasi, Egyptian messenger, witnessed gold-melting",Moran 1992
EA 004,pharaoh;kadasmanenlil,Header lost; Babylonian complaint on marriage refusal,Moran 1992
EA 005,pharaoh;kadasmanenlil;sutti,"Furniture sent 'in the charge of Šutti'",Moran 1992
EA 006,pharaoh;burnaburias,Burra-Buriyaš to Nimmuwarea,Moran 1992
EA 007,pharaoh;burnaburias,Naphurureya addressee; illness and geography lesson,Moran 1992
EA 008,pharaoh;burnaburias;ahutabu;sumadda;balumme;sutatna;saratum,"Merchants killed in Hinnatuna: Šum-Adda son of Balumme; Šutatna son of Šaratum of Akka; caravan of Ahu-tabu",Moran 1992
EA 009,pharaoh;burnaburias;kurigalzu,"Kurigalzu ancestor cited; Assyrian vassals complaint",Moran 1992
EA 010,pharaoh;burnaburias;karaindas;sindisugab;mayati,"Karaindaš ancestor; Sindišugab messenger; Mayati (Meritaten) the pharaoh's daughter",Moran 1992
EA 011,pharaoh;burnaburias;hua;haamassi;mihuni;haya;salmu,"Messengers Hu'a, Haamašši (Egyptian), interpreter Mihuni, magnate Haya, merchant Salmu",Moran 1992
EA 012,a-babylonian-princess;burnaburias;kidinadad,"Princess to 'my lord'; servant Kidin-Adad; gods of Burra-Buriyaš",Moran 1992
EA 013,burnaburias,Dowry inventory; no persons named in preserved text,Moran 1992
EA 014,pharaoh,Egyptian gift inventory; no persons named in preserved text,Moran 1992
EA 015,assuruballit,Aššur-uballiṭ to unnamed king of Egypt,Moran 1992
EA 016,assuruballit;assurnadinahhe,"Ancestor Aššur-nadin-ahhe cited (20 talents); Hanigalbat king unnamed",Moran 1992
EA 017,tusratta;pharaoh;keluheba;udhi;artasumara;keliya;tunipibri,"Nibmuarea addressee; sister Kelu-Heba; UD-hi (reading uncertain) slew Artašumara; envoys Keliya + Tunip-ibri",Moran 1992
EA 018,,Too fragmentary; archive membership doubted (Moran n.1),Moran 1992
EA 019,tusratta;pharaoh;mane;keliya,Marriage of Tadu-Heba negotiated; messengers Mane + Keliya,Moran 1992
EA 020,tusratta;pharaoh;mane;keliya;waaramassi,"Waaramašši, Egyptian envoy, sent back with tablet",Moran 1992
EA 021,tusratta;pharaoh;mane;hane;nahramassi,"Mane + interpreter Hane 'exalted like gods'; Nahramašši dispatched",Moran 1992
EA 022,tusratta;pharaoh;taduheba,Dowry inventory of Tadu-Heba,Moran 1992
EA 023,tusratta;pharaoh;taduheba,Šauška of Nineveh (goddess) travels to Egypt; excluded as deity,Moran 1992
EA 024,tusratta;pharaoh;taduheba;mane;keliya;asali;suttarna;artatama,"The Hurrian letter; ancestors Artatama + Šuttarna; envoys Mane, Keliya, Asali",Moran 1992
EA 025,tusratta,Inventory; no persons named in preserved text,Moran 1992
EA 026,tusratta;teye;taduheba;pharaoh;keliya;mane,"To Teye; Mimmureya (deceased A III) and Naphurreya both -> pharaoh node",Moran 1992
EA 027,tusratta;pharaoh;teye;taduheba;mane;keliya;pirissi;tulubri,"Statues withheld; Mitanni envoys Pirissi + Tulubri",Moran 1992
EA 028,tusratta;pharaoh;teye;taduheba;mane;pirissi;tulubri,Envoys detained,Moran 1992
EA 029,tusratta;pharaoh;teye;taduheba;mane;keliya;asali,Long review of relations; Nimmureya + Naphureya both -> pharaoh,Moran 1992
EA 030,tusratta;akiya,"Passport for messenger Akiya, to the kings of Canaan",Moran 1992
EA 031,pharaoh;tarhundaradu;irsappa,"Nimuwareya to Tarhundaradu of Arzawa; messenger Iršappa; in Hittite",Moran 1992
EA 032,tarhundaradu;kalbaya,"Arzawa reply; Kalbaya's word not confirmed on tablet; gods Nabu/Ištanuš excluded",Moran 1992
EA 033,the-king-of-alasiya,No persons named,Moran 1992
EA 034,the-king-of-alasiya,No persons named,Moran 1992
EA 035,the-king-of-alasiya,No persons named; Nergal = god excluded,Moran 1992
EA 036,the-king-of-alasiya,Fragmentary copper letter; names broken,Moran 1992
EA 037,the-king-of-alasiya,"Fragmentary; personal names lines 21ff epigraphically illegible (Moran n.10)",Moran 1992
EA 038,the-king-of-alasiya,Lukki raiders discussed; no persons named,Moran 1992
EA 039,the-king-of-alasiya,Merchants unnamed,Moran 1992
EA 040,the-governor-of-alasiya;the-governor-of-egypt;sumitti,"Governor (rabiṣu) to governor; Šumitti mentioned",Moran 1992
EA 041,suppiluliuma;pharaoh,Suppiluliuma to Huriya (throne name -> pharaoh),Moran 1992
EA 042,suppiluliuma;pharaoh,Name-order quarrel; no third persons,Moran 1992
EA 043,,Too fragmentary; Hittite provenience; murder mentioned but actors lost,Moran 1992
EA 044,zita;pharaoh,"Zita ('Prince Vita' in Oracc catalogue), the Hittite king's son, to pharaoh",Moran 1992
