ea,museum_no,header_rest,chapter,section,interpretation_raw,reference
EA 001,BM 29784,from the King of Egypt to the King of Babylonia,Ch.3 LETTERS OF THE GREAT POWERS,I. EGYPT,,The use of Esna shales for pottery production has not been recorded in Egyptian assemblages
EA 002,VAT 148+2706,from the King of Babylonia to the King of Egypt,Ch.3 LETTERS OF THE GREAT POWERS,II. HATTI,"The very fine fabric of this tablet, which is almost entirely devoid of inclusions, gives the impression that well-refined alluvial sediment was used. The few inclusions that do appear are Clearly clasts that occurred naturally within the sediment and escaped the refinement process.","No references of pottery from Babylon are found, but amphibole, serpentine, quartz and"
EA 004,VAT 1657,from the King of Babylonia to the King of Egypt,Ch.3 LETTERS OF THE GREAT POWERS,II. HATTI,and conclusions: As EA 2.,
EA 006,VAT 149,from the King of Babylonia to the King of Egypt,Ch.3 LETTERS OF THE GREAT POWERS,II. HATTI,and conclusions: As EA 2.,
EA 008,VAT 152,from the King of Babylonia to the King of Egypt,Ch.3 LETTERS OF THE GREAT POWERS,II. HATTI,and conclusions: As EA 2 but unfired and with coarser inclusions.,
EA 011,VAT 151 + 1878,from the King of Babylonia to the King of Egypt,Ch.3 LETTERS OF THE GREAT POWERS,II. HATTI,and conclusions: As EA 2. The occurrence of radiolarian chert may be linked with the north Syrian or Tauric ophiolites where these rocks are common (Chapter 5.1).,
EA 012,VAT 1605,from a Babylonian princess (?),Ch.3 LETTERS OF THE GREAT POWERS,II. HATTI,As EA 2.,
EA 013,VAT 1717,an inventory from Babylonia,Ch.3 LETTERS OF THE GREAT POWERS,II. HATTI,and conclusions: As EA 2 but unfired or very lightly fired.,
EA 014,VAT 1651 + 2711 + Ash 1891.1-41,inventory of gifts for the Babylonian king,Ch.3 LETTERS OF THE GREAT POWERS,I. EGYPT,and,Similar to EA 1}.
EA 017,BM 29792,from the King of Mitanni to the King of Egypt,Ch.3 LETTERS OF THE GREAT POWERS,IV. MITANNI,,No valid references for this petrofabric and others reflected by the Mitannian letters were found.
EA 018,VAT 1880 + 1879,from Mitanni (?),Ch.3 LETTERS OF THE GREAT POWERS,IV. MITANNI,,
EA 019,BM 29791,from the King of Mitanni to the King of Egypt,Ch.3 LETTERS OF THE GREAT POWERS,IV. MITANNI,"and conclusions: This tablet is almost identical in its materials to EA 18, indicating that the latter too should be included in the Mitanni correspondence.",
EA 020,VAT 191,from the King of Mitanni to the King of Egypt,Ch.3 LETTERS OF THE GREAT POWERS,IV. MITANNI,and conclusions: As EA 17.,
EA 021,VAT 190,from the King of Mitanni to the King of Egypt,Ch.3 LETTERS OF THE GREAT POWERS,IV. MITANNI,and conclusions: As EA 19.,
EA 022,VAT 395,from the King of Mitanni to the King of Egypt,Ch.3 LETTERS OF THE GREAT POWERS,IV. MITANNI,and conclusions: As EA 17.,
EA 023,BM 29793,from the King of Mitanni to the King of Egypt,Ch.3 LETTERS OF THE GREAT POWERS,IV. MITANNI,This tablet is identical to EA 17.,
