polity,pleiades_id,pleiades_title,lat,lon,match_method,needs_review,hand_filled
Ahtiašna,,,,,none,yes,no
Akka,678010,ʿAkka,32.9218295,35.091044,name,no,no
Akšapa,,,,,none,yes,no
Alašiya,13818291,Enkomi,35.1659327,33.8702488,hand:dump-verified,no,yes
Amurru,,,,,none,yes,no
Arzawa,35475912,Arzawa,37.2550425793,32.3484461457,title,no,no
Ashdod,687838,Ashdod/Azotos (Mesogeios),31.7559372333,34.6580570667,title,no,no
Ashkelon,687839,Ašqǝlon,31.6659785,34.545947,name,no,no
Assyria,62104824,Assur (via Assur Archive cluster),35.4581,43.2612,hand:dump-verified,no,yes
Aštartu,678227,Astartu,32.837408,36.029358,name+live,no,no
Babylon,893951,Babylon,32.53729695,44.42497815,title+hand-verified,no,no
Bašan,,,,,none,yes,no
Beirut,678060,Beirut,33.8985935,35.511241,title,no,no
Byblos,668216,Byblos,34.1192487924,35.6461246598,title,no,no
Canaan,,,,,none,yes,no
Damascus,678106,Damascus,33.511612,36.309102,title,no,no
Egypt,,Akhetaten (Tell el-Amarna),27.645,30.896,hand+hand-verified,no,yes
Enišasi,,,,,none,yes,no
Gazru,687904,Gazru,31.859790750000002,34.920993100000004,name+live,no,no
Gimtu,889522884,Gimtu,31.7019809,34.8474001,title,no,no
Gintikirmil,718809993,Ginti-Kirmil,32.97396069268557,35.23055496370524,name+live,no,no
Guddašuna,,,,,none,yes,no
Hasi,,,,,none,yes,no
Hatti,283602441,Hattusa,40.0149132097,34.6171576225,hand:dump-verified,no,yes
Hazor,779967430,Hazor,33.017462128,35.568137176,name,no,no
Hašabu,,,,,none,yes,no
Irqata,668198,Arca/Herakleia en Phoinike/Caesarea ad Libanum,34.533092,36.0428025,hand:dump-verified,no,yes
Jerusalem,687928,Jerusalem,31.7774646,35.23474835,name,no,no
Kumidu,10481849,Kumidi,33.6237320759,35.82105123,classical:title+hand-verified,no,no
Lakiša,687951,Lachish,31.5655212,34.8491898,classical:title+hand-verified,no,no
Lapana,,,,,none,yes,no
Megiddo,26356565,Megiddo,32.58377626673209,35.18373148466008,name+live,no,no
Mittani,,,,,none,yes,no
Mušihuna,,,,,none,yes,no
Naziha,,,,,none,yes,no
Nuhašše,,,,,none,yes,no
Palestine,,,,,none,yes,no
Pihilu,678326,Pella/Berenice/Philippeia,32.4495013404,35.6149158139,hand:dump-verified,no,yes
Qadesh,668291,Qadesh on the Orontes,34.557074935680944,36.51937786424415,name+live,no,no
Qanu,,,,,none,yes,no
Qatna,412342122,Qatna,34.8346712181,36.8663053869,title,no,no
Ruhizza,,,,,none,yes,no
Sidon,678393,Sidon/Col. Aurelia Pia,33.56194725,35.3727895,title,no,no
Syria,,,,,region-no-fixed-point,no,yes
Tunip,668200,Tunip,35.2833333,36.4,name,no,no
Tyre,678437,Tyrus/Col. Septimia Severa,33.2693355,35.201829,hand:dump-verified,no,yes
Ugarit,668295,Ugarit,35.6078548,35.7764238,name+live,no,no
Yurṣa,,,,,none,yes,no
Zuhra,,,,,none,yes,no
Šakmu,678403,Shechem,32.2135284,35.2821112,classical:name+live+hand-verified,no,no
Šamhuna,,,,,none,yes,no
Šaruna,,,,,none,yes,no
Šashimi,,,,,none,yes,no
Ṣiribašani,,,,,none,yes,no
Ṭubu,,,,,none,yes,no
